# SPT ID	RA	DEC	S/N (95 GHz)	S_raw (95 GHz) [mJy]	S_best (95 GHz) [mJy]	dS_up (95 GHz) [mJy]	dS_down (95 GHz) [mJy]	S/N (150 GHz)	S_raw (150 GHz) [mJy]	S_best (150 GHz) [mJy]	dS_up (150 GHz) [mJy]	dS_down (150 GHz) [mJy]	S/N (220 GHz)	S_raw (220 GHz) [mJy]	S_best (220 GHz) [mJy]	dS_up (220 GHz) [mJy]	dS_down (220 GHz) [mJy]	alpha(95,150)_raw	alpha(95,150)_best	d_alpha(95,150)_up	d_alpha(95,150)_down	alpha(150,220)_raw	alpha(150,220)_best	d_alpha(150,220)_up	d_alpha(150,220)_down	P[alpha(150,220)>1.51]	Type	External catalogs	Extended	Redshift	Cut selection
SPT-SJ022652-5253.0	36.718807	-52.884201	6.3582000	13.453300	12.7638	14.8827	10.5440	6.1604900	7.4140300	7.11343	8.42513	5.90264	2.2380100	8.8688400	7.41613	11.3512	4.18734	-1.2503100	-1.28000	-0.720000	-1.84000	0.49332200	0.0800000	1.40000	-1.56000	0.201402	sync	1,5	no	none	1,2
SPT-SJ022705-6331.6	36.770905	-63.527443	5.5026400	10.042100	9.67807	11.5610	7.79518	8.5353600	9.1758300	8.77429	9.90402	7.64455	1.4947100	5.5730400	5.61102	8.62365	3.72813	-0.18929200	-0.200000	0.320000	-0.720000	-1.3729300	-1.24000	0.00000	-2.40000	0.0151003	sync	none	no	none	1,2
SPT-SJ022705-6118.0	36.773537	-61.301044	6.1821000	11.568000	11.2354	13.1441	9.32670	8.4387200	9.2693500	8.89290	10.0208	7.76502	1.8023400	6.7614500	6.29010	9.58698	4.03434	-0.46484800	-0.520000	-0.0400000	-1.00000	-0.86862600	-1.00000	0.240000	-2.24000	0.0265729	sync	1,5	no	0.0777240	1
SPT-SJ022741-4425.6	36.920895	-44.427383	19.496100	40.963700	40.7077	43.1655	38.5571	21.775600	27.401500	27.1897	28.7258	25.9607	5.4004100	24.511100	23.5029	28.4186	18.5873	-0.84372900	-0.880000	-0.720000	-1.08000	-0.30692900	-0.400000	0.120000	-1.08000	0.000225029	sync	1,5	no	none	1,2
SPT-SJ022745-4345.6	36.938442	-43.761059	6.2071200	13.226600	12.8463	15.0287	10.6639	6.5780800	8.3142500	7.78716	9.07675	6.49757	2.0318100	9.2584600	7.68796	12.0527	4.21598	-0.97418500	-1.12000	-0.600000	-1.64000	0.29617300	-0.0400000	1.36000	-1.72000	0.185563	sync	none	no	none	1,2
SPT-SJ022754-4726.3	36.975712	-47.439114	0.47759600	1.0655100	0.221039	0.810476	0.0736796	0.0000000	-1.2559600	0.368398	0.663117	0.0736796	4.5741900	19.647900	0.663117	1.39991	0.221039	-29.123200	0.920000	3.68000	-1.72000	46.238900	2.40000	4.24000	-0.280000	0.672545	dust	none	no	none	1,2,3
SPT-SJ022754-6127.9	36.975807	-61.465622	0.0000000	-0.37652200	0.566109	1.42503	0.136647	4.7049800	5.2056000	1.65929	4.43127	0.253773	0.59888200	2.2529200	1.73737	4.00181	0.331857	32.451800	2.60000	4.24000	0.00000	-2.3059800	-0.0800000	2.64000	-2.08000	0.311101	sync	none	no	none	1,2
SPT-SJ022754-6158.0	36.976566	-61.967754	7.4282200	13.685200	13.3944	15.3445	11.5469	7.5052000	8.2739900	7.85188	8.98091	6.62022	1.4874800	5.6183600	5.38855	8.57036	3.43841	-1.0559000	-1.20000	-0.760000	-1.68000	-1.0657700	-1.04000	0.320000	-2.32000	0.0363642	sync	1,3,5	no	none	1,2
SPT-SJ022755-5254.6	36.980812	-52.910603	1.3342800	2.8222500	2.01678	3.98438	0.934608	5.0611500	6.0881800	5.26332	6.54225	3.88600	3.2825900	13.117300	11.2645	15.2981	6.93577	1.6132600	2.08000	3.88000	0.520000	2.1134500	2.20000	3.40000	0.760000	0.760049	dust	1	no	none	1,2,3
SPT-SJ022757-6329.9	36.987778	-63.499550	1.2521800	2.3070800	1.72961	3.37686	0.796171	5.3196100	5.7138300	4.91429	6.06737	3.54159	1.9944700	7.3211100	5.40847	8.48334	2.77287	1.9030200	2.28000	4.00000	0.680000	0.68248800	0.480000	2.08000	-1.44000	0.334700	sync	none	no	none	1,2
SPT-SJ022802-4901.3	37.010670	-49.022835	17.817300	37.737100	37.5012	39.7655	35.5200	20.290700	24.948000	24.7650	26.1801	23.3498	4.6495800	19.509500	18.5384	23.0668	14.0099	-0.86841200	-0.920000	-0.760000	-1.12000	-0.67703400	-0.840000	-0.200000	-1.60000	2.85642e-05	sync	1,5	no	none	1,2
SPT-SJ022820-5537.4	37.086266	-55.624027	20.742000	41.775500	41.5144	44.0209	39.3212	25.260800	30.679800	30.5483	32.1149	28.9818	5.3891900	20.977800	20.2089	24.2820	16.1358	-0.64777500	-0.680000	-0.520000	-0.840000	-1.0466700	-1.16000	-0.640000	-1.84000	6.71589e-09	sync	1,3,5	no	none	1,2
SPT-SJ022821-5546.0	37.088856	-55.767738	88.251800	174.67600	174.894	178.825	169.654	114.33000	138.61800	138.212	142.143	134.282	26.177400	108.31400	108.081	114.631	101.530	-0.48516000	-0.520000	-0.440000	-0.600000	-0.67922100	-0.720000	-0.520000	-0.880000	9.02343e-35	sync	1,3,5	no	2.46400	1,2
SPT-SJ022839-5808.5	37.166615	-58.142658	1.4841900	2.8784900	2.09180	3.93543	0.957266	5.2479800	6.1921300	5.35360	6.70086	3.93543	2.3698100	9.4544800	7.26813	11.0263	3.79361	1.6073800	2.08000	3.84000	0.560000	1.1652600	1.00000	2.48000	-0.880000	0.447370	sync	4	no	none	1,2
SPT-SJ022846-4713.1	37.193207	-47.219028	7.4076700	16.586200	16.2337	18.4729	13.9946	9.3812200	12.020800	11.5067	12.8750	10.2627	0.97403800	4.2081400	6.15763	9.01875	4.54047	-0.67554000	-0.760000	-0.360000	-1.16000	-2.8899900	-1.80000	-0.680000	-2.64000	0.00149521	sync	1	no	none	1,2
SPT-SJ022847-4928.9	37.197659	-49.482727	7.6201700	16.190700	15.8466	18.0324	13.7823	8.1240900	9.9807900	9.65371	10.8680	8.31797	2.8783300	11.882400	10.3823	14.6323	6.37509	-1.0151400	-1.12000	-0.680000	-1.56000	0.48017600	0.200000	1.28000	-1.20000	0.173795	sync	1,5	no	none	1,2
SPT-SJ022848-4840.1	37.202621	-48.669308	12.079600	25.779100	25.6180	27.7448	23.4912	16.451200	20.329000	20.0110	21.3644	18.8510	2.2495000	9.3449800	9.95718	13.4374	7.83040	-0.49839400	-0.560000	-0.280000	-0.760000	-2.1399600	-1.96000	-1.12000	-2.64000	8.20877e-07	sync	1,5,8	no	none	1,2
SPT-SJ022851-4123.9	37.216190	-41.398769	0.0000000	-2.4496200	1.08246	1.76612	0.740629	5.3307700	6.7421400	5.75412	7.12144	4.27286	3.3680900	15.192400	13.1604	17.7181	8.26087	32.994500	3.80000	4.64000	2.56000	2.2369000	2.40000	3.56000	1.00000	0.804595	dust	2,4,6	no	0.0178360	1
SPT-SJ022856-4543.3	37.236889	-45.722584	5.4646600	12.405900	11.3979	13.7240	8.97877	5.2148800	6.7521400	6.28049	7.58311	4.97787	0.89132700	3.9122000	4.51265	7.67615	2.74481	-1.2764600	-1.32000	-0.640000	-1.96000	-1.5026900	-1.00000	0.600000	-2.36000	0.0781683	sync	none	no	none	1,2
SPT-SJ022913-5403.4	37.306484	-54.056988	105.99700	222.20800	222.486	225.819	217.486	132.86200	159.00200	159.156	162.490	155.823	30.351500	120.56300	119.159	129.158	110.826	-0.70232700	-0.760000	-0.680000	-0.800000	-0.76197800	-0.800000	-0.600000	-1.00000	1.08537e-33	sync	1,3,5	no	none	1,2
SPT-SJ022914-3950.6	37.311974	-39.844883	5.1324500	11.109700	10.6237	12.7900	8.45726	6.2044500	8.6981400	8.04065	9.54045	6.54084	1.6587600	8.5069600	7.04077	11.4569	3.95783	-0.51348400	-0.640000	0.00000	-1.24000	-0.061191700	-0.320000	1.20000	-1.96000	0.153806	sync	1	no	none	1,2
SPT-SJ022916-6124.6	37.317772	-61.410362	1.3019500	2.4372900	0.455540	1.62693	0.0650771	0.20106300	0.22246000	0.585694	1.23647	0.195231	4.6586500	17.353900	0.976157	2.40785	0.325386	-5.0232700	0.360000	3.36000	-1.96000	11.996000	2.08000	4.16000	-0.720000	0.618867	dust	none	no	none	1,2
SPT-SJ022924-6407.4	37.353012	-64.124321	1.9476100	3.5142200	2.69172	4.53747	1.25614	6.4392700	6.8361100	6.22941	7.35736	5.10145	1.3221200	4.7914100	4.48620	7.15228	2.79426	1.3962600	1.88000	3.56000	0.640000	-0.97853900	-0.880000	0.600000	-2.28000	0.0720032	sync	1	no	none	1,2
SPT-SJ022925-5232.4	37.357826	-52.540691	31.478000	66.587900	66.6711	68.6688	64.1741	35.523300	43.104400	43.1989	44.6971	41.7007	6.9177100	27.478700	26.7184	31.2131	22.2237	-0.91257300	-0.960000	-0.840000	-1.08000	-1.2396100	-1.32000	-0.880000	-1.84000	9.57998e-16	sync	1,3,4,5,8	no	none	1,2
SPT-SJ022937-4407.5	37.405041	-44.125637	0.62173500	1.3182000	0.949505	2.33060	0.258956	2.3235300	2.9317800	2.67588	4.05698	0.776868	5.0320100	23.018300	5.09280	17.6953	0.949505	1.6773100	2.00000	4.00000	-0.240000	5.6738400	3.00000	4.60000	-1.20000	0.647301	dust	none	no	none	1,2,3
SPT-SJ023003-4322.7	37.513260	-43.378529	7.4887500	15.947300	15.6084	17.7613	13.4555	10.793300	13.601500	13.2163	14.5320	11.9007	1.4382700	6.5508000	7.47530	10.8242	5.32241	-0.33387100	-0.360000	0.00000	-0.760000	-2.0116000	-1.64000	-0.520000	-2.56000	0.00152397	sync	1	no	none	1,2
SPT-SJ023008-5951.3	37.534828	-59.855492	5.3246900	10.151900	9.78389	11.6874	7.80427	8.5702700	9.6398600	9.25092	10.4691	8.10883	2.2704800	8.6416200	7.49972	11.0021	4.68256	-0.10860800	-0.120000	0.440000	-0.600000	-0.30099100	-0.560000	0.600000	-1.96000	0.0516260	sync	1,5	no	none	1,2
SPT-SJ023010-4503.7	37.542793	-45.062767	8.5555600	17.911300	17.6650	19.8144	15.5157	9.2979900	11.634500	11.3513	12.5603	10.0079	3.2923600	14.713800	13.0976	17.7994	8.53026	-0.90534700	-1.00000	-0.600000	-1.36000	0.64652000	0.440000	1.36000	-0.840000	0.200512	sync	1,5	no	none	1,2
SPT-SJ023011-6214.4	37.546593	-62.241390	51.424400	96.618800	96.7396	99.6381	93.8410	58.164600	63.555800	63.4061	65.5800	61.2322	12.229500	45.170800	44.5654	48.9133	40.2176	-0.87891300	-0.920000	-0.840000	-1.04000	-0.94018800	-1.00000	-0.720000	-1.28000	8.16555e-25	sync	1,3,5	no	none	1,2
SPT-SJ023011-5451.7	37.549309	-54.862850	1.7582400	3.5807800	2.40570	4.54939	0.928933	5.3425800	6.3516800	5.02577	6.40726	3.21554	0.0000000	-2.7288200	2.64389	4.21593	1.69113	1.2026600	1.48000	3.44000	-0.0800000	-43.129600	-1.72000	-0.200000	-2.64000	0.0450142	sync	none	no	none	1,2
SPT-SJ023048-4114.1	37.701908	-41.236259	12.104800	25.710100	25.5494	27.6705	23.4283	17.922000	22.584700	22.2714	23.6212	21.1144	2.1759300	10.091700	11.0875	14.7512	8.58075	-0.27198000	-0.280000	-0.0800000	-0.520000	-2.2180100	-2.00000	-1.16000	-2.68000	4.17563e-07	sync	1	no	none	1,2
SPT-SJ023108-5755.1	37.786694	-57.918915	33.638700	65.300300	65.3819	67.8307	62.9332	44.613400	53.000400	52.6484	54.6074	51.1791	12.566200	50.940500	50.6894	55.0971	45.7918	-0.43792400	-0.480000	-0.360000	-0.560000	-0.10915000	-0.120000	0.120000	-0.400000	5.51765e-09	sync	1,3,4,5	no	0.0319890	1
SPT-SJ023112-4746.1	37.802975	-47.768433	109.13800	244.22000	244.525	248.189	239.030	142.41100	181.81500	182.249	185.912	176.754	30.522200	129.22800	129.131	138.290	119.973	-0.61918300	-0.640000	-0.600000	-0.720000	-0.94005000	-0.960000	-0.760000	-1.20000	3.54837e-41	sync	1,3,4,5	no	0.765000	1,2
