# SPT ID	RA	DEC	S/N (95 GHz)	S_raw (95 GHz) [mJy]	S_best (95 GHz) [mJy]	dS_up (95 GHz) [mJy]	dS_down (95 GHz) [mJy]	S/N (150 GHz)	S_raw (150 GHz) [mJy]	S_best (150 GHz) [mJy]	dS_up (150 GHz) [mJy]	dS_down (150 GHz) [mJy]	S/N (220 GHz)	S_raw (220 GHz) [mJy]	S_best (220 GHz) [mJy]	dS_up (220 GHz) [mJy]	dS_down (220 GHz) [mJy]	alpha(95,150)_raw	alpha(95,150)_best	d_alpha(95,150)_up	d_alpha(95,150)_down	alpha(150,220)_raw	alpha(150,220)_best	d_alpha(150,220)_up	d_alpha(150,220)_down	P[alpha(150,220)>1.51]	Type	External catalogs	Extended	Redshift	Cut selection
SPT-SJ000024-4513.5	0.10097266	-45.225319	0.0000000	-2.5497600	0.261125	0.925806	0.0237386	4.6476000	6.3303000	0.403557	3.44210	0.166170	0.0000000	-2.0420000	0.640943	2.54003	0.166170	32.862200	2.28000	4.20000	-0.640000	-43.120300	0.00000	3.04000	-2.12000	0.347007	sync	none	no	none	1,2
SPT-SJ000024-4721.8	0.10193932	-47.364315	4.1112400	9.0341300	8.43461	10.6626	6.10051	5.1187700	6.9168000	6.20660	7.58585	4.72126	3.0198700	14.146100	11.9358	16.6040	6.94927	-0.56038300	-0.680000	0.160000	-1.48000	1.9700100	1.92000	3.12000	0.320000	0.682322	dust	1,5	no	0.0913000	1
SPT-SJ000038-5347.1	0.16188578	-53.785557	0.0000000	-0.21384200	0.816379	2.01373	0.380977	3.2611100	3.1939300	2.99339	3.86419	2.12258	5.0555600	14.513400	10.2864	14.0961	4.62615	31.426700	2.72000	4.28000	0.840000	4.1681300	3.48000	4.48000	1.52000	0.861005	dust	none	no	none	1,2,3
SPT-SJ000056-6049.0	0.23554349	-60.817966	5.3317200	11.280600	10.2794	12.4792	8.07973	4.9730500	6.2910200	5.79541	7.06448	4.52634	0.62923100	2.6348400	3.93411	6.64145	2.41123	-1.2253600	-1.28000	-0.560000	-1.96000	-2.3962700	-1.16000	0.440000	-2.44000	0.0644778	sync	none	no	none	1,2
SPT-SJ000057-4558.2	0.23874497	-45.970314	13.404900	29.146400	28.7456	31.1502	26.5597	11.596200	15.802100	15.6298	16.9413	14.3182	2.8033500	13.129400	11.9136	16.5042	7.76023	-1.2846000	-1.36000	-1.12000	-1.64000	-0.51016800	-0.760000	0.200000	-1.96000	0.00953285	sync	1	no	none	1,2
SPT-SJ000105-4244.7	0.27226672	-42.745876	2.0109700	4.4976500	3.26014	5.66235	1.33837	5.1084500	6.4875200	5.59371	7.03504	4.08375	2.0093100	9.1512700	6.62323	10.5354	3.32877	0.76868400	1.16000	3.12000	-0.200000	0.94720000	0.680000	2.32000	-1.32000	0.382546	sync	none	no	none	1,2
SPT-SJ000137-5945.9	0.40684989	-59.766079	0.38651700	0.79154300	0.727106	2.06946	0.279656	1.3554200	1.2467000	1.95759	2.62877	1.06269	5.5853900	14.915000	8.55748	12.3608	2.85249	0.95323300	1.92000	4.00000	-0.320000	6.8335200	4.24000	4.80000	2.76000	0.926609	dust	none	no	none	1,2,3
SPT-SJ000148-4837.7	0.45383170	-48.628426	0.0000000	-2.6483500	0.399424	1.03850	0.0798847	2.2463400	2.9365300	1.35804	3.27527	0.399424	4.6728400	21.302600	1.35804	9.34652	0.559193	31.250400	2.72000	4.32000	0.320000	5.4561100	1.36000	4.16000	-1.64000	0.515822	sync	none	no	none	1,2
SPT-SJ000154-5043.2	0.47721457	-50.720352	0.71567600	1.5882000	1.20026	2.81373	0.491911	5.1427500	5.2470500	3.79755	5.17490	1.35767	0.37564700	1.1012200	2.34150	4.07302	1.20026	2.5076800	2.20000	4.04000	0.160000	-4.2987100	-1.12000	0.800000	-2.44000	0.122068	sync	1	no	none	1,2
SPT-SJ000158-4612.2	0.49544391	-46.203690	1.3826100	3.0749400	0.396499	1.66529	0.0792998	0.19151700	0.25899100	0.555098	1.34810	0.237899	4.5564600	21.146600	0.872297	1.82389	0.396499	-5.1918700	0.280000	3.36000	-2.04000	12.121600	1.56000	3.96000	-1.16000	0.545908	dust	none	no	none	1,2
SPT-SJ000211-4711.9	0.54628325	-47.198540	1.6176400	3.6627300	2.69212	4.94225	1.24561	5.5767000	7.4930000	6.71021	8.15672	5.26369	2.3115500	10.714900	8.31744	12.4963	4.37972	1.5019300	2.00000	3.76000	0.600000	0.98477800	0.720000	2.16000	-1.12000	0.376224	sync	1	no	none	1,2
SPT-SJ000212-5927.3	0.55209726	-59.455433	6.5014100	13.358300	12.9742	15.0782	10.9705	7.8097200	7.1935700	6.86283	7.86470	5.86095	2.4268600	6.6368000	5.86095	8.46582	3.55665	-1.2987800	-1.44000	-0.960000	-1.92000	-0.22180600	-0.480000	0.680000	-1.84000	0.0619240	sync	1	no	none	1,2
SPT-SJ000224-5231.8	0.60069031	-52.530655	0.0000000	-1.5796300	0.723270	1.61345	0.389453	3.3030600	3.3333100	3.05999	3.95016	2.16981	5.0742200	14.836300	10.7378	14.5210	4.95162	31.516400	3.12000	4.44000	1.36000	4.1111100	3.52000	4.48000	1.60000	0.866834	dust	4	no	2.35100	1,2,3
SPT-SJ000230-5152.2	0.62900430	-51.870590	1.5196600	3.3502100	2.06603	4.23043	0.728028	5.1952800	5.2470500	4.11238	5.37167	2.45955	0.57509400	1.7026900	2.61697	4.46655	1.55444	0.94142100	1.36000	3.52000	-0.400000	-3.0988200	-1.12000	0.640000	-2.44000	0.0982452	sync	1	no	none	1,2
SPT-SJ000235-5206.7	0.64639318	-52.112473	5.7698400	12.659700	12.2008	14.3846	10.0170	6.0797500	6.1668800	5.55444	6.69382	4.51002	1.1029400	3.2350100	3.65549	5.83929	2.32622	-1.5092000	-1.76000	-1.16000	-2.32000	-1.7763800	-1.24000	0.160000	-2.44000	0.0337218	sync	1,5	no	none	1,2
SPT-SJ000246-4815.7	0.69436169	-48.262421	5.9678600	13.553400	13.1572	15.4636	10.8507	7.8345900	10.467800	10.1169	11.4798	8.64913	3.0170300	13.978400	12.0040	16.5120	7.39108	-0.54207400	-0.600000	-0.0800000	-1.08000	0.79628400	0.560000	1.60000	-0.840000	0.270034	sync	1,5	no	none	1,2
SPT-SJ000252-5948.0	0.71984035	-59.801495	44.177700	90.522800	90.6360	92.6727	87.9203	85.956800	78.950200	79.0943	81.8100	75.6997	25.112700	66.700800	66.1948	70.2683	62.8002	-0.28702400	-0.320000	-0.200000	-0.400000	-0.46421900	-0.480000	-0.280000	-0.680000	3.08343e-22	sync	1,3,5	no	none	1,2
SPT-SJ000254-5621.0	0.72511709	-56.351334	6.0048300	12.893900	12.5232	14.6507	10.2990	9.3815500	8.9273100	8.55833	9.52537	7.59128	1.5925800	4.3434000	4.78686	6.91435	3.43300	-0.77144800	-0.840000	-0.360000	-1.28000	-1.9837000	-1.64000	-0.600000	-2.56000	0.00132017	sync	1,3,5	no	none	1,2
SPT-SJ000303-5529.9	0.76395559	-55.499695	24.870400	52.877700	52.9438	54.9267	50.5643	29.851400	28.825800	28.7522	29.9420	27.1659	6.1198700	17.129800	16.8548	19.6308	13.6821	-1.2731000	-1.36000	-1.20000	-1.52000	-1.4330000	-1.52000	-1.08000	-2.08000	6.97431e-15	sync	1,3,5	no	none	1,2
SPT-SJ000309-5258.2	0.78843725	-52.970085	4.1988600	9.1849200	8.57642	10.7808	6.30315	7.7755200	7.7607100	7.33645	8.36976	6.23426	1.4403300	4.2496100	4.51209	6.78536	3.06547	-0.35355200	-0.360000	0.400000	-1.00000	-1.6582100	-1.40000	-0.160000	-2.48000	0.0107739	sync	1	no	none	1,2
SPT-SJ000310-5444.7	0.79274887	-54.746128	22.576500	48.667600	48.7284	50.9185	46.1734	34.771800	33.682700	33.3981	35.2232	31.9381	10.415900	29.116200	28.6530	31.9381	25.7330	-0.77226300	-0.840000	-0.680000	-0.960000	-0.40113400	-0.440000	-0.120000	-0.760000	7.85771e-10	sync	1,3,5	no	0.0325790	1
SPT-SJ000312-5905.7	0.80377758	-59.095818	8.9030700	18.341200	18.0890	20.1524	16.0256	13.714800	12.704100	12.5866	13.5496	11.4862	5.5098000	14.915000	14.3749	17.1261	11.4862	-0.77057700	-0.800000	-0.480000	-1.12000	0.44176500	0.400000	0.960000	-0.280000	0.0620675	sync	1,3,5	no	none	1,2
SPT-SJ000318-5757.4	0.82880938	-57.957230	3.4332700	7.2145700	6.41081	8.55742	4.14817	5.2898300	4.9423900	4.32222	5.36652	3.27793	2.8735400	7.7355200	6.46883	9.07957	3.80007	-0.79371800	-0.880000	0.200000	-1.76000	1.2334500	1.20000	2.48000	-0.400000	0.492445	sync	1	no	none	1,2
SPT-SJ000330-4009.8	0.87669814	-40.163464	4.1835000	9.6320500	8.95950	11.3647	6.55427	5.8345100	7.6182500	7.03531	8.35819	5.71243	3.3900000	16.034900	14.1308	18.9412	9.07976	-0.49217100	-0.560000	0.240000	-1.24000	2.0491200	2.00000	3.04000	0.640000	0.729828	dust	1	no	none	1,2
SPT-SJ000353-4114.8	0.97165293	-41.247833	4.7791700	10.920400	10.3607	12.6540	7.98554	5.2570400	6.8618600	5.93797	7.33032	4.54562	0.33581000	1.5475200	3.80849	6.51129	2.41614	-0.97502100	-1.24000	-0.520000	-2.00000	-4.1006800	-1.24000	0.360000	-2.48000	0.0602043	sync	1,5	no	none	1,2
SPT-SJ000357-5343.6	0.98874575	-53.726685	13.365300	28.963100	28.7821	30.9543	26.6098	19.482300	19.180200	19.0070	20.3104	17.9209	6.7916500	19.346000	18.7898	21.8309	15.9659	-0.86482200	-0.920000	-0.680000	-1.12000	0.023685500	-0.0400000	0.440000	-0.520000	0.00132264	sync	1,5	no	0.0857760	1
SPT-SJ000357-6034.8	0.99047714	-60.580227	0.0000000	-2.1076500	0.919854	1.65574	0.551913	4.9899700	6.2910000	4.89363	6.36539	2.75956	2.3130600	9.8117800	6.95410	11.0750	2.98033	32.849200	3.64000	4.60000	2.16000	1.2237800	1.28000	2.96000	-0.800000	0.511689	sync	none	no	none	1,2
SPT-SJ000407-4345.1	1.0295923	-43.751671	63.356300	139.09000	139.264	142.393	136.134	72.522000	90.683900	90.2346	92.3210	88.1483	14.874700	67.258600	66.2416	72.5007	59.9826	-0.89755800	-0.960000	-0.880000	-1.04000	-0.82280700	-0.880000	-0.600000	-1.16000	2.10662e-26	sync	1,3,5	no	none	1,2
SPT-SJ000409-4929.3	1.0400062	-49.488712	6.8008900	15.309800	14.9845	17.2809	12.6880	8.5298300	11.156600	10.7360	12.1139	9.35812	1.7853900	8.0376900	7.52094	11.4249	4.76518	-0.66406500	-0.760000	-0.280000	-1.16000	-0.90279800	-1.00000	0.240000	-2.28000	0.0247032	sync	1,5	no	none	1,2
SPT-SJ000413-5255.0	1.0576313	-52.917042	13.559300	29.527800	29.3433	31.5578	27.1287	25.732200	25.882600	25.7999	27.1287	24.4712	6.7640900	19.642600	19.1562	22.2566	16.0557	-0.27648100	-0.280000	-0.0800000	-0.480000	-0.75957600	-0.840000	-0.400000	-1.32000	9.78519e-09	sync	1,3,5	no	0.0325990	1
SPT-SJ000419-5546.8	1.0810701	-55.780415	10.639400	22.823700	22.6811	24.7352	20.4557	13.049000	12.545900	12.2392	13.2663	11.2121	2.3154700	6.4464700	6.59034	8.98683	4.87857	-1.2556700	-1.36000	-1.08000	-1.64000	-1.8333800	-1.76000	-0.880000	-2.56000	2.62498e-05	sync	1,4,5	no	none	1,2
SPT-SJ000429-4157.1	1.1242429	-41.952209	19.374200	44.030000	43.7548	46.3966	41.4432	24.101500	31.250300	31.2063	32.5272	29.8854	4.2539100	19.656300	18.6577	23.6111	14.3648	-0.71940800	-0.760000	-0.600000	-0.920000	-1.2765600	-1.44000	-0.800000	-2.20000	1.45891e-08	sync	1	no	none	1,2
SPT-SJ000433-4000.5	1.1390235	-40.009537	7.7004200	17.715300	17.4000	19.7297	15.0703	14.806300	19.414200	19.1473	20.4577	17.8368	2.0648500	9.5961100	10.1197	13.9054	7.64434	0.19215300	0.200000	0.560000	-0.120000	-1.9401600	-1.80000	-0.880000	-2.60000	2.47948e-05	sync	1	no	0.101690	1,2
SPT-SJ000435-4736.3	1.1479795	-47.605900	226.92700	523.57400	524.228	532.082	516.375	324.59100	435.36000	433.912	445.692	426.058	77.959100	354.79800	351.449	375.010	331.815	-0.38716300	-0.400000	-0.360000	-0.480000	-0.56340500	-0.600000	-0.400000	-0.800000	5.16067e-31	sync	1,3,4,5,8	no	0.880000	1,2
SPT-SJ000438-4655.6	1.1589494	-46.926739	5.9151600	13.727300	13.2780	15.6693	10.8867	6.8875400	9.2769100	8.87295	10.2574	7.36266	3.5796500	16.781000	15.0400	19.8226	10.0057	-0.82226800	-0.920000	-0.360000	-1.44000	1.6319800	1.52000	2.48000	0.320000	0.612437	sync	1	no	none	1,2
SPT-SJ000443-6204.0	1.1829637	-62.067886	1.0879300	2.2422100	1.86024	3.47784	0.889680	5.2714400	6.4358000	5.74248	7.03656	4.61016	5.1732700	21.568000	20.3009	24.5066	15.7716	2.2125500	2.56000	4.12000	1.04000	3.3297600	3.56000	4.32000	2.68000	0.990248	dust	1,2,4,7	no	0.0151400	1
SPT-SJ000444-4007.3	1.1848357	-40.122246	0.45469800	1.0340600	0.281699	1.40849	0.0938996	0.65355600	0.85494800	0.657297	1.78409	0.281699	5.3256700	25.039900	1.03290	3.28649	0.469498	-0.39912100	1.24000	3.76000	-1.40000	9.2986800	2.04000	4.28000	-0.920000	0.605662	dust	none	no	none	1,2,3
SPT-SJ000446-4824.8	1.1932077	-48.414116	8.6947400	19.551900	19.2831	21.4827	16.9368	11.840500	15.625000	15.3238	16.7902	14.0040	3.6850200	16.469600	15.0305	19.8696	10.4847	-0.47045300	-0.520000	-0.160000	-0.840000	0.14495000	-0.0400000	0.760000	-1.12000	0.0480815	sync	1,5	no	none	1,2
SPT-SJ000449-4032.9	1.2062259	-40.549480	5.0288700	11.491700	9.86850	12.1956	7.45524	3.2238800	4.2218200	4.09392	5.21436	3.05967	1.1714600	5.4510600	4.35248	8.23093	2.11160	-2.1012100	-2.04000	-1.24000	-2.64000	0.70360800	0.120000	2.08000	-1.88000	0.299257	sync	none	no	none	1,2
SPT-SJ000453-4202.1	1.2236935	-42.035816	2.2896000	5.1273000	0.845090	3.28646	0.0938989	0.0000000	-0.23796900	0.657292	1.78408	0.281697	5.3299700	25.039700	1.03289	3.28646	0.469494	-32.420000	-0.840000	2.56000	-2.44000	46.906500	1.76000	4.20000	-1.12000	0.567132	dust	none	no	none	1,2
SPT-SJ000506-5223.8	1.2777543	-52.397182	0.40072400	0.88217900	1.21146	2.63671	0.593853	5.1945200	5.2470500	4.29949	5.48720	2.87425	2.1495600	6.3344300	4.72707	7.34002	2.44667	3.7414400	2.72000	4.24000	0.920000	0.51855200	0.520000	2.12000	-1.36000	0.334986	sync	none	no	none	1,2
SPT-SJ000508-5049.1	1.2848716	-50.819004	2.5917700	5.7285700	4.58930	6.94665	2.23196	5.9828200	6.1132000	5.54227	6.64571	4.43883	2.2483800	6.6875100	5.34165	7.89962	3.08461	0.13636100	0.400000	2.00000	-0.640000	0.24723100	0.0400000	1.36000	-1.60000	0.191762	sync	1,5	no	0.0372560	1
SPT-SJ000515-4345.5	1.3150190	-43.758652	3.3792300	7.3517200	6.47870	8.62908	4.10777	5.4138500	6.7398100	5.87219	7.25063	4.49374	0.73647100	3.3712700	4.10777	7.03008	2.50877	-0.18235100	-0.240000	0.840000	-1.16000	-1.9073900	-0.960000	0.720000	-2.36000	0.0972472	sync	none	no	none	1,2
SPT-SJ000526-5541.8	1.3619150	-55.697170	8.2897400	17.829100	17.3165	19.4560	15.0433	8.0078500	10.760900	10.6306	11.9678	9.15970	5.5490800	15.688100	15.1770	17.9851	12.2352	-1.0595000	-1.08000	-0.680000	-1.52000	1.0379900	1.00000	1.64000	0.320000	0.370054	sync	1,5	no	none	1,2
SPT-SJ000529-5959.4	1.3729128	-59.991131	0.0000000	-1.0085900	0.967234	1.86369	0.495412	4.9520000	6.2909500	4.74180	6.34600	2.09960	2.1725200	5.9034300	4.45871	7.00655	2.24115	32.849100	3.36000	4.52000	1.68000	-0.17505700	0.120000	1.96000	-1.64000	0.266698	sync	1	no	none	1,2
SPT-SJ000530-6223.6	1.3780981	-62.393398	5.9316600	12.271600	10.6303	12.6551	8.60546	2.6118800	3.1606100	3.63546	4.55583	2.89917	1.9318200	7.8075000	5.75231	9.89398	2.53102	-2.8464900	-2.44000	-1.84000	-2.84000	2.4899400	1.24000	2.92000	-1.04000	0.506205	sync	1,4,5	no	none	1,2
SPT-SJ000558-5628.5	1.4924347	-56.475521	22.794100	48.530700	48.5914	50.7752	46.0435	24.758400	33.152900	32.9402	34.3961	31.4843	10.757200	30.003900	29.6644	32.5762	26.7525	-0.79961600	-0.840000	-0.720000	-1.00000	-0.27479700	-0.280000	0.00000	-0.640000	1.55770e-08	sync	1,3,5	no	0.291200	1,2
SPT-SJ000602-4234.9	1.5102606	-42.582176	8.3957100	18.432200	17.9023	20.1141	15.6904	8.3095700	10.458400	10.0225	11.2667	8.77834	0.049748900	0.22458200	4.90757	7.25768	3.80164	-1.1891300	-1.28000	-0.880000	-1.68000	-10.575500	-2.00000	-0.920000	-2.72000	0.00122246	sync	1,3,4,5	no	0.530000	1,2
SPT-SJ000604-6035.9	1.5168734	-60.599140	7.1882500	14.469100	14.1616	16.2235	12.0998	7.6397100	9.6422100	9.27831	10.5805	7.97609	2.7308200	11.351500	9.82090	14.0531	5.91424	-0.85164700	-0.960000	-0.520000	-1.40000	0.44935000	0.160000	1.28000	-1.28000	0.176359	sync	1,5	no	none	1,2
SPT-SJ000605-6044.2	1.5231411	-60.737358	4.8624400	10.217400	3.25680	8.46767	0.0383153	1.3045600	1.6497000	1.41766	2.87364	0.0383153	0.0000000	-2.9932700	0.957881	2.56712	0.114946	-3.8263600	-1.84000	2.44000	-2.76000	-39.417700	-0.360000	2.44000	-2.24000	0.280027	sync	none	no	none	1,2
SPT-SJ000613-5620.7	1.5582350	-56.346214	6.2752400	13.485000	13.1518	15.2468	10.8241	11.035200	14.777800	14.5485	15.9452	13.3846	11.312900	31.036800	30.3773	33.4034	27.3512	0.19210000	0.240000	0.680000	-0.160000	2.0431500	2.04000	2.44000	1.68000	0.981847	dust	1	no	0.262700	1,2
SPT-SJ000618-5144.9	1.5766721	-51.748550	0.0000000	-1.7071200	0.278181	0.834542	0.0556361	0.0000000	-0.081384600	0.500725	1.50218	0.166908	5.0818900	14.836300	1.27963	5.61925	0.389453	-0.0000000	1.92000	4.04000	-0.720000	45.465500	3.20000	4.56000	0.480000	0.773120	dust	none	no	none	1,2,3
SPT-SJ000619-4129.8	1.5792398	-41.497589	7.9482900	18.033300	17.6436	19.9576	15.3297	19.106300	24.590200	24.5854	25.7424	22.8500	16.300700	77.130700	76.6486	83.0119	69.7069	0.65076300	0.720000	1.04000	0.400000	3.1475300	3.20000	3.48000	2.92000	1.00000	dust	1,4,6,7	yes	0.00504300	none
SPT-SJ000619-4128.9	1.5818675	-41.481865	2.7525900	6.1858600	5.20002	7.63953	2.76050	6.6150900	8.5635400	8.02472	9.43707	6.74076	3.7434000	17.119400	15.4717	20.2223	10.5926	0.68248900	1.00000	2.36000	0.0400000	1.9072700	1.84000	2.80000	0.720000	0.720897	dust	4,6	yes	none	none
SPT-SJ000619-4245.2	1.5819370	-42.754272	20.117500	44.319900	44.0429	46.3697	42.0485	21.123600	26.524200	26.4257	27.7553	25.0961	5.3464000	24.372200	23.4341	28.0877	18.4482	-1.0772500	-1.16000	-1.00000	-1.32000	-0.23298200	-0.360000	0.200000	-1.00000	0.000531650	sync	1,3,5	no	1.77000	1,2
SPT-SJ000630-5333.4	1.6256993	-53.557522	2.5298200	5.5016600	4.47609	6.78957	2.16260	5.6786500	7.1167700	6.48781	7.79543	5.18019	4.6648100	13.411500	12.7242	15.6412	9.70657	0.54013000	0.840000	2.44000	-0.240000	1.7447000	1.88000	2.76000	0.960000	0.767339	dust	1	no	none	1,2,3
SPT-SJ000638-4910.7	1.6623714	-49.179413	1.3673200	3.0722900	2.22572	4.26814	0.968841	5.3406100	6.9826400	5.94397	7.41033	4.37288	1.1962400	5.3141300	4.52999	7.56744	2.64467	1.7227700	2.12000	3.88000	0.560000	-0.75183200	-0.560000	1.16000	-2.16000	0.153669	sync	none	no	none	1,2
SPT-SJ000648-4621.5	1.7017618	-46.359467	4.0939500	9.5409100	8.83727	11.1986	6.40434	5.2911600	7.1531700	6.40434	7.83547	4.90164	1.9191700	9.0343900	6.83368	10.8409	3.61362	-0.60439900	-0.720000	0.120000	-1.52000	0.64286700	0.320000	1.92000	-1.56000	0.298103	sync	1,5	no	none	1,2
SPT-SJ000708-4056.3	1.7848409	-40.938614	6.9281700	15.646100	15.3136	17.5432	12.9667	7.1947600	9.3338300	8.85960	10.1504	7.56880	2.1237600	9.9739700	8.39022	12.9667	4.75250	-1.0839700	-1.20000	-0.760000	-1.68000	0.18263900	-0.160000	1.16000	-1.76000	0.147697	sync	1	no	none	1,2
SPT-SJ000712-4023.6	1.8026619	-40.394882	14.478200	32.931100	32.7253	35.1951	30.5024	20.831900	27.077100	27.0447	28.2796	25.5628	5.3153600	25.039200	24.0809	29.0205	18.8942	-0.41070600	-0.440000	-0.240000	-0.640000	-0.21544000	-0.320000	0.240000	-1.00000	0.000668717	sync	1,3,5	no	none	1,2
SPT-SJ000712-5309.1	1.8038129	-53.153084	5.1408400	11.248500	10.7564	12.9498	8.56292	7.6722300	9.6314400	9.15347	10.5033	7.88801	1.9931700	8.5670800	7.38183	11.3469	4.51346	-0.32567800	-0.360000	0.240000	-0.880000	-0.32243700	-0.600000	0.720000	-2.04000	0.0707546	sync	1	no	none	1,2
SPT-SJ000716-5123.2	1.8187623	-51.387775	4.1821100	9.2142800	8.60383	10.8153	6.32330	6.0763700	7.7675400	6.94526	8.25830	5.56312	0.074031000	0.32492600	3.90455	6.18509	2.72973	-0.35840100	-0.480000	0.320000	-1.20000	-8.7395400	-1.64000	-0.280000	-2.60000	0.0186716	sync	1	no	none	1,2
SPT-SJ000719-6113.2	1.8314902	-61.220985	26.374900	55.565900	55.6354	57.7191	53.1349	30.723700	38.432500	38.1321	39.7991	36.8819	6.8070800	28.454000	27.7135	32.2977	23.1293	-0.77359800	-0.840000	-0.680000	-0.960000	-0.82771000	-0.920000	-0.480000	-1.44000	5.39243e-10	sync	1,3,5	no	none	1,2
SPT-SJ000726-4117.0	1.8601526	-41.283520	3.9882600	8.9581400	8.34624	10.5790	5.90084	5.7314000	7.4260000	6.85774	8.23992	5.47556	3.0885000	14.176200	12.0675	16.7456	7.28302	-0.39360200	-0.440000	0.400000	-1.20000	1.7802800	1.68000	2.80000	0.160000	0.630117	dust	1	no	none	1,2
SPT-SJ000742-4549.1	1.9288852	-45.818810	22.853900	53.121600	53.1880	55.5785	50.3991	34.496000	47.034400	46.8134	48.8055	45.2198	8.3619400	39.212800	38.4468	43.6261	33.2674	-0.25537900	-0.280000	-0.120000	-0.400000	-0.50077400	-0.560000	-0.160000	-1.00000	6.78980e-09	sync	1,5	no	none	1,2
SPT-SJ000800-5243.6	2.0026546	-52.727661	46.309700	100.97900	101.105	103.377	98.0759	61.285500	77.088900	76.8703	79.1423	74.5982	14.432600	63.070600	62.4808	68.5395	56.4220	-0.56646700	-0.600000	-0.520000	-0.680000	-0.55261600	-0.600000	-0.320000	-0.880000	6.41341e-17	sync	1,3,4,5	no	none	1,2
SPT-SJ000835-5009.6	2.1497924	-50.161186	6.4312000	14.426000	14.0761	16.3141	11.8380	10.735200	14.029200	13.7227	15.1362	12.4270	3.4697800	15.705500	14.0761	18.5521	9.48220	-0.058521400	-0.0400000	0.400000	-0.440000	0.31077400	0.0800000	0.960000	-1.04000	0.0907421	sync	1	no	none	1,2
SPT-SJ000836-4619.8	2.1538935	-46.330402	11.124200	25.914100	25.7521	28.0844	23.4199	11.441000	15.448600	15.0626	16.4231	13.7021	2.2057100	10.282200	9.62061	13.8964	6.70527	-1.0854200	-1.20000	-0.880000	-1.48000	-1.1209100	-1.24000	-0.200000	-2.32000	0.00299133	sync	1,3,4,5	no	1.85000	1,2
SPT-SJ000840-5950.0	2.1671369	-59.834099	2.9449900	6.0892500	5.22883	7.43727	3.02038	6.7930100	8.6605800	7.69709	9.06113	6.33305	0.0000000	-5.7050400	3.60497	5.03396	2.76056	0.73916300	0.880000	2.12000	-0.0400000	-43.983300	-2.20000	-1.20000	-2.80000	0.00112000	sync	1,5	no	none	1,2
SPT-SJ000853-5554.1	2.2214999	-55.902416	0.0000000	-1.3385100	1.01208	1.89440	0.493064	5.1721900	6.9202000	5.21610	6.92885	1.84250	1.0357000	4.6714000	3.81476	6.92885	1.79060	33.049200	3.44000	4.52000	1.76000	-1.0820400	-0.440000	1.60000	-2.16000	0.206979	sync	none	no	none	1,2
SPT-SJ000909-5458.1	2.2909164	-54.969051	6.3595200	13.669300	13.3251	15.5027	11.1475	11.080500	13.746600	13.5325	14.7769	12.1844	3.2587600	13.826300	12.2881	16.4360	8.24393	0.011833900	0.0400000	0.480000	-0.360000	0.015928000	-0.240000	0.680000	-1.40000	0.0433603	sync	1,5	no	none	1,2
SPT-SJ000909-4613.2	2.2911096	-46.220512	27.915300	64.668700	64.7495	67.1746	61.8394	34.544300	46.930200	46.8040	48.7440	45.3489	7.8752500	36.747300	36.1336	41.4688	30.7985	-0.67277100	-0.720000	-0.600000	-0.840000	-0.67347000	-0.760000	-0.360000	-1.20000	3.67590e-10	sync	1,5	no	none	1,2
SPT-SJ000913-5458.4	2.3044279	-54.973648	3.5057600	7.5263000	6.68852	8.89180	4.32787	3.2932700	4.0666600	4.01311	5.11475	3.06885	4.8884500	20.983600	14.2426	20.0656	3.06885	-1.2917100	-1.12000	-0.0400000	-2.04000	4.5180800	3.48000	4.52000	-0.400000	0.767207	dust	1	no	none	1,2
SPT-SJ000922-5130.2	2.3419759	-51.504559	13.134700	28.867700	28.6873	30.8524	26.5222	15.215100	19.403700	19.1609	20.4600	17.8619	4.1545800	18.205100	16.9959	21.5425	12.4492	-0.83359500	-0.880000	-0.640000	-1.12000	-0.17556500	-0.360000	0.360000	-1.24000	0.00648796	sync	1,3,5	no	0.116971	1,2
SPT-SJ000925-4819.6	2.3541877	-48.327866	5.1337600	11.766700	10.3694	12.7522	7.98665	3.6016600	4.7981300	4.54489	5.78039	3.39763	1.1522400	5.3077000	4.45664	8.25140	2.25038	-1.8823300	-1.88000	-1.12000	-2.56000	0.27790500	-0.0800000	1.80000	-2.00000	0.250915	sync	1	no	none	1,2
SPT-SJ000936-6357.5	2.4030964	-63.959072	17.729800	35.564500	35.3422	37.4761	33.4751	21.578100	25.796000	25.7398	27.0735	24.4061	5.8558600	23.885800	23.0725	27.3402	18.5380	-0.67384200	-0.720000	-0.560000	-0.880000	-0.21183900	-0.320000	0.200000	-0.920000	0.000335388	sync	1,3,5	no	none	1,2
SPT-SJ000949-4316.7	2.4558253	-43.278950	9.7748300	21.145000	20.8543	23.0745	18.7926	14.759200	18.419100	18.1583	19.4270	16.8896	2.8109900	12.604400	11.8148	16.0966	8.32584	-0.28960000	-0.320000	-0.0400000	-0.600000	-1.0444800	-1.24000	-0.320000	-2.24000	0.000443284	sync	1,8	no	none	1,2
SPT-SJ001000-5701.1	2.5018311	-57.018650	7.2385000	15.409100	14.7350	16.9307	12.5392	7.0217000	9.2818500	8.60983	9.99665	7.33858	0.0000000	-4.4379100	4.10267	5.72063	3.17813	-1.0636600	-1.20000	-0.720000	-1.68000	-44.174100	-2.20000	-1.20000	-2.80000	0.000805740	sync	1,5	no	0.0315720	1
